,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Stromal cells (all non-immune cells),native cell,CL:0000003,F50,female,unknown,15th week post-fertilization human stage,48,0.3870655592290944
1,Stromal cells (all non-immune cells),fibroblast,CL:0000057,F50,female,unknown,15th week post-fertilization human stage,8622,69.5266510765261
2,Stromal cells (all non-immune cells),epithelial cell,CL:0000066,F50,female,unknown,15th week post-fertilization human stage,7,0.0564470607209096
3,Stromal cells (all non-immune cells),endothelial cell,CL:0000115,F50,female,unknown,15th week post-fertilization human stage,431,3.4755261672445767
4,Stromal cells (all non-immune cells),glial cell,CL:0000125,F50,female,unknown,15th week post-fertilization human stage,472,3.806144665752762
5,Stromal cells (all non-immune cells),melanocyte,CL:0000148,F50,female,unknown,15th week post-fertilization human stage,150,1.2095798725909201
6,Stromal cells (all non-immune cells),myofibroblast cell,CL:0000186,F50,female,unknown,15th week post-fertilization human stage,1460,11.77324409321829
7,Stromal cells (all non-immune cells),eurydendroid cell,CL:0000253,F50,female,unknown,15th week post-fertilization human stage,13,0.10483025562454641
8,Stromal cells (all non-immune cells),keratinocyte,CL:0000312,F50,female,unknown,15th week post-fertilization human stage,311,2.507862269171841
9,Stromal cells (all non-immune cells),vascular associated smooth muscle cell,CL:0000359,F50,female,unknown,15th week post-fertilization human stage,886,7.144585114103702
10,Stromal cells (all non-immune cells),skeletal muscle satellite cell,CL:0000594,F50,female,unknown,15th week post-fertilization human stage,1,0.008063865817272801
