,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Tabula Sapiens - Skin,epithelial cell,CL:0000066,TSP10,male,Hispanic or Latin American,33-year-old human stage,101,1.7226675763261128
1,Tabula Sapiens - Skin,T cell,CL:0000084,TSP10,male,Hispanic or Latin American,33-year-old human stage,311,5.30445164591506
2,Tabula Sapiens - Skin,mast cell,CL:0000097,TSP10,male,Hispanic or Latin American,33-year-old human stage,578,9.85843424867815
3,Tabula Sapiens - Skin,endothelial cell,CL:0000115,TSP10,male,Hispanic or Latin American,33-year-old human stage,833,14.207743476036159
4,Tabula Sapiens - Skin,melanocyte,CL:0000148,TSP10,male,Hispanic or Latin American,33-year-old human stage,61,1.0404229916425038
5,Tabula Sapiens - Skin,muscle cell,CL:0000187,TSP10,male,Hispanic or Latin American,33-year-old human stage,180,3.0701006310762406
6,Tabula Sapiens - Skin,macrophage,CL:0000235,TSP10,male,Hispanic or Latin American,33-year-old human stage,718,12.246290295070782
7,Tabula Sapiens - Skin,Langerhans cell,CL:0000453,TSP10,male,Hispanic or Latin American,33-year-old human stage,19,0.3240661777247143
8,Tabula Sapiens - Skin,CD4-positive helper T cell,CL:0000492,TSP10,male,Hispanic or Latin American,33-year-old human stage,32,0.5457956677468873
9,Tabula Sapiens - Skin,stromal cell,CL:0000499,TSP10,male,Hispanic or Latin American,33-year-old human stage,1518,25.89118198874296
10,Tabula Sapiens - Skin,plasma cell,CL:0000786,TSP10,male,Hispanic or Latin American,33-year-old human stage,9,0.15350503155381204
11,Tabula Sapiens - Skin,memory B cell,CL:0000787,TSP10,male,Hispanic or Latin American,33-year-old human stage,9,0.15350503155381204
12,Tabula Sapiens - Skin,naive B cell,CL:0000788,TSP10,male,Hispanic or Latin American,33-year-old human stage,7,0.11939280231963159
13,Tabula Sapiens - Skin,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,TSP10,male,Hispanic or Latin American,33-year-old human stage,87,1.4838819716868499
14,Tabula Sapiens - Skin,mature NK T cell,CL:0000814,TSP10,male,Hispanic or Latin American,33-year-old human stage,367,6.259594064472113
15,Tabula Sapiens - Skin,regulatory T cell,CL:0000815,TSP10,male,Hispanic or Latin American,33-year-old human stage,47,0.8016373870032407
16,Tabula Sapiens - Skin,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,TSP10,male,Hispanic or Latin American,33-year-old human stage,29,0.4946273238956166
17,Tabula Sapiens - Skin,"CD4-positive, alpha-beta memory T cell",CL:0000897,TSP10,male,Hispanic or Latin American,33-year-old human stage,153,2.6095855364148046
18,Tabula Sapiens - Skin,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,TSP10,male,Hispanic or Latin American,33-year-old human stage,66,1.125703564727955
19,Tabula Sapiens - Skin,"CD8-positive, alpha-beta memory T cell",CL:0000909,TSP10,male,Hispanic or Latin American,33-year-old human stage,583,9.943714821763603
20,Tabula Sapiens - Skin,CD141-positive myeloid dendritic cell,CL:0002394,TSP10,male,Hispanic or Latin American,33-year-old human stage,11,0.18761726078799248
21,Tabula Sapiens - Skin,CD1c-positive myeloid dendritic cell,CL:0002399,TSP10,male,Hispanic or Latin American,33-year-old human stage,144,2.4560805048609926
