,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,HSC/progenitor cells,native cell,CL:0000003,F38,male,unknown,12th week post-fertilization human stage,8,4.0
1,HSC/progenitor cells,hematopoietic stem cell,CL:0000037,F38,male,unknown,12th week post-fertilization human stage,11,5.5
2,HSC/progenitor cells,common myeloid progenitor,CL:0000049,F38,male,unknown,12th week post-fertilization human stage,7,3.5000000000000004
3,HSC/progenitor cells,megakaryocyte-erythroid progenitor cell,CL:0000050,F38,male,unknown,12th week post-fertilization human stage,17,8.5
4,HSC/progenitor cells,megakaryocyte,CL:0000556,F38,male,unknown,12th week post-fertilization human stage,56,28.000000000000004
5,HSC/progenitor cells,granulocyte monocyte progenitor cell,CL:0000557,F38,male,unknown,12th week post-fertilization human stage,38,19.0
6,HSC/progenitor cells,promonocyte,CL:0000559,F38,male,unknown,12th week post-fertilization human stage,20,10.0
7,HSC/progenitor cells,promyelocyte,CL:0000836,F38,male,unknown,12th week post-fertilization human stage,4,2.0
8,HSC/progenitor cells,early lymphoid progenitor,CL:0000936,F38,male,unknown,12th week post-fertilization human stage,9,4.5
9,HSC/progenitor cells,fraction A pre-pro B cell,CL:0002045,F38,male,unknown,12th week post-fertilization human stage,22,11.0
10,HSC/progenitor cells,double negative thymocyte,CL:0002489,F38,male,unknown,12th week post-fertilization human stage,8,4.0
