,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Stromal cells (all non-immune cells),native cell,CL:0000003,F38,male,unknown,12th week post-fertilization human stage,11,0.2032895952688967
1,Stromal cells (all non-immune cells),fibroblast,CL:0000057,F38,male,unknown,12th week post-fertilization human stage,4176,77.17612271299205
2,Stromal cells (all non-immune cells),endothelial cell,CL:0000115,F38,male,unknown,12th week post-fertilization human stage,85,1.5708741452596562
3,Stromal cells (all non-immune cells),glial cell,CL:0000125,F38,male,unknown,12th week post-fertilization human stage,225,4.158196266863796
4,Stromal cells (all non-immune cells),melanocyte,CL:0000148,F38,male,unknown,12th week post-fertilization human stage,28,0.517464424320828
5,Stromal cells (all non-immune cells),myofibroblast cell,CL:0000186,F38,male,unknown,12th week post-fertilization human stage,303,5.599704306043245
6,Stromal cells (all non-immune cells),eurydendroid cell,CL:0000253,F38,male,unknown,12th week post-fertilization human stage,22,0.4065791905377934
7,Stromal cells (all non-immune cells),keratinocyte,CL:0000312,F38,male,unknown,12th week post-fertilization human stage,6,0.11088523378303455
8,Stromal cells (all non-immune cells),vascular associated smooth muscle cell,CL:0000359,F38,male,unknown,12th week post-fertilization human stage,554,10.238403252633525
9,Stromal cells (all non-immune cells),skeletal muscle satellite cell,CL:0000594,F38,male,unknown,12th week post-fertilization human stage,1,0.018480872297172428
