,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,NK/T cells,native cell,CL:0000003,F51,female,unknown,14th week post-fertilization human stage,54,1.1316010058675607
1,NK/T cells,megakaryocyte-erythroid progenitor cell,CL:0000050,F51,female,unknown,14th week post-fertilization human stage,8,0.16764459346186086
2,NK/T cells,T cell,CL:0000084,F51,female,unknown,14th week post-fertilization human stage,811,16.994970662196142
3,NK/T cells,natural killer cell,CL:0000623,F51,female,unknown,14th week post-fertilization human stage,808,16.932103939647945
4,NK/T cells,"double-positive, alpha-beta thymocyte",CL:0000809,F51,female,unknown,14th week post-fertilization human stage,44,0.9220452640402346
5,NK/T cells,regulatory T cell,CL:0000815,F51,female,unknown,14th week post-fertilization human stage,566,11.860854987426656
6,NK/T cells,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,F51,female,unknown,14th week post-fertilization human stage,1469,30.783738474434198
7,NK/T cells,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,F51,female,unknown,14th week post-fertilization human stage,698,14.626990779547361
8,NK/T cells,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CL:0000915,F51,female,unknown,14th week post-fertilization human stage,17,0.3562447611064543
9,NK/T cells,early lymphoid progenitor,CL:0000936,F51,female,unknown,14th week post-fertilization human stage,4,0.08382229673093043
10,NK/T cells,innate lymphoid cell,CL:0001065,F51,female,unknown,14th week post-fertilization human stage,9,0.18860016764459347
11,NK/T cells,group 2 innate lymphoid cell,CL:0001069,F51,female,unknown,14th week post-fertilization human stage,65,1.3621123218776194
12,NK/T cells,group 3 innate lymphoid cell,CL:0001071,F51,female,unknown,14th week post-fertilization human stage,214,4.4844928751047775
13,NK/T cells,double negative thymocyte,CL:0002489,F51,female,unknown,14th week post-fertilization human stage,5,0.10477787091366303
