,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,HSC/immune cells (all hematopoietic-derived cells),native cell,CL:0000003,F61,male,unknown,Carnegie stage 20,32,1.0810810810810811
1,HSC/immune cells (all hematopoietic-derived cells),hematopoietic stem cell,CL:0000037,F61,male,unknown,Carnegie stage 20,2,0.06756756756756757
2,HSC/immune cells (all hematopoietic-derived cells),megakaryocyte-erythroid progenitor cell,CL:0000050,F61,male,unknown,Carnegie stage 20,1,0.033783783783783786
3,HSC/immune cells (all hematopoietic-derived cells),fibroblast,CL:0000057,F61,male,unknown,Carnegie stage 20,146,4.9324324324324325
4,HSC/immune cells (all hematopoietic-derived cells),granulocyte,CL:0000094,F61,male,unknown,Carnegie stage 20,5,0.16891891891891891
5,HSC/immune cells (all hematopoietic-derived cells),mast cell,CL:0000097,F61,male,unknown,Carnegie stage 20,4,0.13513513513513514
6,HSC/immune cells (all hematopoietic-derived cells),erythrocyte,CL:0000232,F61,male,unknown,Carnegie stage 20,544,18.37837837837838
7,HSC/immune cells (all hematopoietic-derived cells),macrophage,CL:0000235,F61,male,unknown,Carnegie stage 20,1754,59.25675675675676
8,HSC/immune cells (all hematopoietic-derived cells),dendritic cell,CL:0000451,F61,male,unknown,Carnegie stage 20,68,2.2972972972972974
9,HSC/immune cells (all hematopoietic-derived cells),megakaryocyte,CL:0000556,F61,male,unknown,Carnegie stage 20,133,4.493243243243243
10,HSC/immune cells (all hematopoietic-derived cells),granulocyte monocyte progenitor cell,CL:0000557,F61,male,unknown,Carnegie stage 20,5,0.16891891891891891
11,HSC/immune cells (all hematopoietic-derived cells),promonocyte,CL:0000559,F61,male,unknown,Carnegie stage 20,57,1.9256756756756759
12,HSC/immune cells (all hematopoietic-derived cells),monocyte,CL:0000576,F61,male,unknown,Carnegie stage 20,179,6.047297297297297
13,HSC/immune cells (all hematopoietic-derived cells),natural killer cell,CL:0000623,F61,male,unknown,Carnegie stage 20,2,0.06756756756756757
14,HSC/immune cells (all hematopoietic-derived cells),plasmacytoid dendritic cell,CL:0000784,F61,male,unknown,Carnegie stage 20,1,0.033783783783783786
15,HSC/immune cells (all hematopoietic-derived cells),pro-B cell,CL:0000826,F61,male,unknown,Carnegie stage 20,2,0.06756756756756757
16,HSC/immune cells (all hematopoietic-derived cells),promyelocyte,CL:0000836,F61,male,unknown,Carnegie stage 20,5,0.16891891891891891
17,HSC/immune cells (all hematopoietic-derived cells),hematopoietic multipotent progenitor cell,CL:0000837,F61,male,unknown,Carnegie stage 20,2,0.06756756756756757
18,HSC/immune cells (all hematopoietic-derived cells),early lymphoid progenitor,CL:0000936,F61,male,unknown,Carnegie stage 20,4,0.13513513513513514
19,HSC/immune cells (all hematopoietic-derived cells),large pre-B-II cell,CL:0000957,F61,male,unknown,Carnegie stage 20,2,0.06756756756756757
20,HSC/immune cells (all hematopoietic-derived cells),group 3 innate lymphoid cell,CL:0001071,F61,male,unknown,Carnegie stage 20,10,0.33783783783783783
21,HSC/immune cells (all hematopoietic-derived cells),pre-conventional dendritic cell,CL:0002010,F61,male,unknown,Carnegie stage 20,1,0.033783783783783786
22,HSC/immune cells (all hematopoietic-derived cells),fraction A pre-pro B cell,CL:0002045,F61,male,unknown,Carnegie stage 20,1,0.033783783783783786
