,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Myeloid cells,megakaryocyte-erythroid progenitor cell,CL:0000050,F19,female,unknown,10th week post-fertilization human stage,1,0.5813953488372093
1,Myeloid cells,osteoclast,CL:0000092,F19,female,unknown,10th week post-fertilization human stage,1,0.5813953488372093
2,Myeloid cells,granulocyte,CL:0000094,F19,female,unknown,10th week post-fertilization human stage,3,1.744186046511628
3,Myeloid cells,mast cell,CL:0000097,F19,female,unknown,10th week post-fertilization human stage,7,4.069767441860465
4,Myeloid cells,macrophage,CL:0000235,F19,female,unknown,10th week post-fertilization human stage,95,55.23255813953488
5,Myeloid cells,dendritic cell,CL:0000451,F19,female,unknown,10th week post-fertilization human stage,17,9.883720930232558
6,Myeloid cells,Langerhans cell,CL:0000453,F19,female,unknown,10th week post-fertilization human stage,2,1.1627906976744187
7,Myeloid cells,granulocyte monocyte progenitor cell,CL:0000557,F19,female,unknown,10th week post-fertilization human stage,5,2.9069767441860463
8,Myeloid cells,promonocyte,CL:0000559,F19,female,unknown,10th week post-fertilization human stage,13,7.55813953488372
9,Myeloid cells,monocyte,CL:0000576,F19,female,unknown,10th week post-fertilization human stage,18,10.465116279069768
10,Myeloid cells,neutrophil,CL:0000775,F19,female,unknown,10th week post-fertilization human stage,1,0.5813953488372093
11,Myeloid cells,plasmacytoid dendritic cell,CL:0000784,F19,female,unknown,10th week post-fertilization human stage,6,3.488372093023256
12,Myeloid cells,promyelocyte,CL:0000836,F19,female,unknown,10th week post-fertilization human stage,1,0.5813953488372093
13,Myeloid cells,early lymphoid progenitor,CL:0000936,F19,female,unknown,10th week post-fertilization human stage,2,1.1627906976744187
