,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Lymphoid cells,native cell,CL:0000003,F69,female,unknown,11th week post-fertilization human stage,2,2.197802197802198
1,Lymphoid cells,T cell,CL:0000084,F69,female,unknown,11th week post-fertilization human stage,5,5.4945054945054945
2,Lymphoid cells,natural killer cell,CL:0000623,F69,female,unknown,11th week post-fertilization human stage,28,30.76923076923077
3,Lymphoid cells,regulatory T cell,CL:0000815,F69,female,unknown,11th week post-fertilization human stage,1,1.098901098901099
4,Lymphoid cells,B-1 B cell,CL:0000819,F69,female,unknown,11th week post-fertilization human stage,3,3.296703296703297
5,Lymphoid cells,B-2 B cell,CL:0000822,F69,female,unknown,11th week post-fertilization human stage,2,2.197802197802198
6,Lymphoid cells,pro-B cell,CL:0000826,F69,female,unknown,11th week post-fertilization human stage,4,4.395604395604396
7,Lymphoid cells,hematopoietic multipotent progenitor cell,CL:0000837,F69,female,unknown,11th week post-fertilization human stage,2,2.197802197802198
8,Lymphoid cells,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,F69,female,unknown,11th week post-fertilization human stage,1,1.098901098901099
9,Lymphoid cells,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,F69,female,unknown,11th week post-fertilization human stage,1,1.098901098901099
10,Lymphoid cells,early lymphoid progenitor,CL:0000936,F69,female,unknown,11th week post-fertilization human stage,1,1.098901098901099
11,Lymphoid cells,large pre-B-II cell,CL:0000957,F69,female,unknown,11th week post-fertilization human stage,4,4.395604395604396
12,Lymphoid cells,innate lymphoid cell,CL:0001065,F69,female,unknown,11th week post-fertilization human stage,10,10.989010989010989
13,Lymphoid cells,group 2 innate lymphoid cell,CL:0001069,F69,female,unknown,11th week post-fertilization human stage,6,6.593406593406594
14,Lymphoid cells,group 3 innate lymphoid cell,CL:0001071,F69,female,unknown,11th week post-fertilization human stage,19,20.87912087912088
15,Lymphoid cells,fraction A pre-pro B cell,CL:0002045,F69,female,unknown,11th week post-fertilization human stage,2,2.197802197802198
