,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Fetal Human Gut (6-11 PCW),stem cell,CL:0000034,2134,unknown,unknown,Carnegie stage 23,74,1.6700519070187319
1,Fetal Human Gut (6-11 PCW),fibroblast,CL:0000057,2134,unknown,unknown,Carnegie stage 23,551,12.435116226585421
2,Fetal Human Gut (6-11 PCW),mesothelial cell,CL:0000077,2134,unknown,unknown,Carnegie stage 23,57,1.2863913337846988
3,Fetal Human Gut (6-11 PCW),enteroendocrine cell,CL:0000164,2134,unknown,unknown,Carnegie stage 23,16,0.3610923042202663
4,Fetal Human Gut (6-11 PCW),myofibroblast cell,CL:0000186,2134,unknown,unknown,Carnegie stage 23,415,9.365831640713157
5,Fetal Human Gut (6-11 PCW),mesodermal cell,CL:0000222,2134,unknown,unknown,Carnegie stage 23,1012,22.839088241931844
6,Fetal Human Gut (6-11 PCW),enterocyte,CL:0000584,2134,unknown,unknown,Carnegie stage 23,794,17.919205596930716
7,Fetal Human Gut (6-11 PCW),pericyte,CL:0000669,2134,unknown,unknown,Carnegie stage 23,167,3.7689009252990298
8,Fetal Human Gut (6-11 PCW),erythroblast,CL:0000765,2134,unknown,unknown,Carnegie stage 23,133,3.0015797788309637
9,Fetal Human Gut (6-11 PCW),hematopoietic cell,CL:0000988,2134,unknown,unknown,Carnegie stage 23,135,3.046716316858497
10,Fetal Human Gut (6-11 PCW),interstitial cell of Cajal,CL:0002088,2134,unknown,unknown,Carnegie stage 23,139,3.1369893929135633
11,Fetal Human Gut (6-11 PCW),endothelial cell of lymphatic vessel,CL:0002138,2134,unknown,unknown,Carnegie stage 23,7,0.1579778830963665
12,Fetal Human Gut (6-11 PCW),enteric smooth muscle cell,CL:0002504,2134,unknown,unknown,Carnegie stage 23,347,7.831189347777026
13,Fetal Human Gut (6-11 PCW),vein endothelial cell,CL:0002543,2134,unknown,unknown,Carnegie stage 23,201,4.536222071767095
14,Fetal Human Gut (6-11 PCW),enteric neuron,CL:0007011,2134,unknown,unknown,Carnegie stage 23,78,1.7603249830737984
15,Fetal Human Gut (6-11 PCW),neural crest cell,CL:0011012,2134,unknown,unknown,Carnegie stage 23,172,3.881742270367863
16,Fetal Human Gut (6-11 PCW),progenitor cell,CL:0011026,2134,unknown,unknown,Carnegie stage 23,38,0.8575942225231324
17,Fetal Human Gut (6-11 PCW),colon epithelial cell,CL:0011108,2134,unknown,unknown,Carnegie stage 23,4,0.09027307605506657
18,Fetal Human Gut (6-11 PCW),intestine goblet cell,CL:0019031,2134,unknown,unknown,Carnegie stage 23,54,1.2186865267433988
19,Fetal Human Gut (6-11 PCW),endothelial cell of artery,CL:1000413,2134,unknown,unknown,Carnegie stage 23,37,0.8350259535093659
