,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,fetal and neonatal human small intestine cells,fibroblast,CL:0000057,S1100A,unknown,unknown,20th week post-fertilization human stage,1013,9.688217291507268
1,fetal and neonatal human small intestine cells,blood vessel endothelial cell,CL:0000071,S1100A,unknown,unknown,20th week post-fertilization human stage,360,3.442999234889059
2,fetal and neonatal human small intestine cells,T cell,CL:0000084,S1100A,unknown,unknown,20th week post-fertilization human stage,5345,51.11897475133894
3,fetal and neonatal human small intestine cells,enteroendocrine cell,CL:0000164,S1100A,unknown,unknown,20th week post-fertilization human stage,121,1.1572302983932672
4,fetal and neonatal human small intestine cells,macrophage,CL:0000235,S1100A,unknown,unknown,20th week post-fertilization human stage,743,7.1059678653404745
5,fetal and neonatal human small intestine cells,B cell,CL:0000236,S1100A,unknown,unknown,20th week post-fertilization human stage,744,7.115531752104055
6,fetal and neonatal human small intestine cells,dendritic cell,CL:0000451,S1100A,unknown,unknown,20th week post-fertilization human stage,330,3.1560826319816373
7,fetal and neonatal human small intestine cells,neuron,CL:0000540,S1100A,unknown,unknown,20th week post-fertilization human stage,327,3.127390971690895
8,fetal and neonatal human small intestine cells,enterocyte,CL:0000584,S1100A,unknown,unknown,20th week post-fertilization human stage,1211,11.58186687069625
9,fetal and neonatal human small intestine cells,endothelial cell of lymphatic vessel,CL:0002138,S1100A,unknown,unknown,20th week post-fertilization human stage,262,2.5057383320581486
