,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,white matter - all cells,astrocyte,CL:0000127,SD016/13,female,British,44-year-old human stage,96,12.030075187969924
1,white matter - all cells,oligodendrocyte,CL:0000128,SD016/13,female,British,44-year-old human stage,329,41.228070175438596
2,white matter - all cells,microglial cell,CL:0000129,SD016/13,female,British,44-year-old human stage,83,10.401002506265664
3,white matter - all cells,vascular associated smooth muscle cell,CL:0000359,SD016/13,female,British,44-year-old human stage,2,0.2506265664160401
4,white matter - all cells,GABAergic neuron,CL:0000617,SD016/13,female,British,44-year-old human stage,114,14.285714285714285
5,white matter - all cells,glutamatergic neuron,CL:0000679,SD016/13,female,British,44-year-old human stage,3,0.37593984962406013
6,white matter - all cells,leukocyte,CL:0000738,SD016/13,female,British,44-year-old human stage,9,1.1278195488721803
7,white matter - all cells,central nervous system macrophage,CL:0000878,SD016/13,female,British,44-year-old human stage,7,0.8771929824561403
8,white matter - all cells,cerebellar granule cell,CL:0001031,SD016/13,female,British,44-year-old human stage,5,0.6265664160401002
9,white matter - all cells,capillary endothelial cell,CL:0002144,SD016/13,female,British,44-year-old human stage,25,3.132832080200501
10,white matter - all cells,oligodendrocyte precursor cell,CL:0002453,SD016/13,female,British,44-year-old human stage,80,10.025062656641603
11,white matter - all cells,mural cell,CL:0008034,SD016/13,female,British,44-year-old human stage,30,3.7593984962406015
12,white matter - all cells,endothelial cell of artery,CL:1000413,SD016/13,female,British,44-year-old human stage,10,1.2531328320802004
13,white matter - all cells,differentiation-committed oligodendrocyte precursor,CL:4023059,SD016/13,female,British,44-year-old human stage,5,0.6265664160401002
