,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Myeloid cells,native cell,CL:0000003,F23,male,unknown,11th week post-fertilization human stage,122,4.812623274161735
1,Myeloid cells,hematopoietic stem cell,CL:0000037,F23,male,unknown,11th week post-fertilization human stage,46,1.8145956607495068
2,Myeloid cells,common myeloid progenitor,CL:0000049,F23,male,unknown,11th week post-fertilization human stage,53,2.0907297830374754
3,Myeloid cells,megakaryocyte-erythroid progenitor cell,CL:0000050,F23,male,unknown,11th week post-fertilization human stage,28,1.1045364891518739
4,Myeloid cells,fibroblast,CL:0000057,F23,male,unknown,11th week post-fertilization human stage,3,0.1183431952662722
5,Myeloid cells,Kupffer cell,CL:0000091,F23,male,unknown,11th week post-fertilization human stage,1,0.03944773175542406
6,Myeloid cells,granulocyte,CL:0000094,F23,male,unknown,11th week post-fertilization human stage,51,2.0118343195266273
7,Myeloid cells,mast cell,CL:0000097,F23,male,unknown,11th week post-fertilization human stage,79,3.1163708086785014
8,Myeloid cells,macrophage,CL:0000235,F23,male,unknown,11th week post-fertilization human stage,1271,50.138067061143985
9,Myeloid cells,dendritic cell,CL:0000451,F23,male,unknown,11th week post-fertilization human stage,211,8.323471400394478
10,Myeloid cells,megakaryocyte,CL:0000556,F23,male,unknown,11th week post-fertilization human stage,2,0.07889546351084813
11,Myeloid cells,granulocyte monocyte progenitor cell,CL:0000557,F23,male,unknown,11th week post-fertilization human stage,66,2.603550295857988
12,Myeloid cells,promonocyte,CL:0000559,F23,male,unknown,11th week post-fertilization human stage,138,5.44378698224852
13,Myeloid cells,monocyte,CL:0000576,F23,male,unknown,11th week post-fertilization human stage,360,14.201183431952662
14,Myeloid cells,plasmacytoid dendritic cell,CL:0000784,F23,male,unknown,11th week post-fertilization human stage,45,1.7751479289940828
15,Myeloid cells,promyelocyte,CL:0000836,F23,male,unknown,11th week post-fertilization human stage,23,0.9072978303747534
16,Myeloid cells,hematopoietic multipotent progenitor cell,CL:0000837,F23,male,unknown,11th week post-fertilization human stage,8,0.3155818540433925
17,Myeloid cells,early lymphoid progenitor,CL:0000936,F23,male,unknown,11th week post-fertilization human stage,18,0.7100591715976331
18,Myeloid cells,common dendritic progenitor,CL:0001029,F23,male,unknown,11th week post-fertilization human stage,2,0.07889546351084813
19,Myeloid cells,pre-conventional dendritic cell,CL:0002010,F23,male,unknown,11th week post-fertilization human stage,5,0.19723865877712032
20,Myeloid cells,myelocyte,CL:0002193,F23,male,unknown,11th week post-fertilization human stage,3,0.1183431952662722
