,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Lymphoid cells,native cell,CL:0000003,F21,male,unknown,16th week post-fertilization human stage,90,1.9501625135427951
1,Lymphoid cells,hematopoietic stem cell,CL:0000037,F21,male,unknown,16th week post-fertilization human stage,5,0.10834236186348861
2,Lymphoid cells,common myeloid progenitor,CL:0000049,F21,male,unknown,16th week post-fertilization human stage,3,0.06500541711809318
3,Lymphoid cells,megakaryocyte-erythroid progenitor cell,CL:0000050,F21,male,unknown,16th week post-fertilization human stage,247,5.352112676056338
4,Lymphoid cells,T cell,CL:0000084,F21,male,unknown,16th week post-fertilization human stage,438,9.490790899241604
5,Lymphoid cells,megakaryocyte,CL:0000556,F21,male,unknown,16th week post-fertilization human stage,7,0.15167930660888407
6,Lymphoid cells,granulocyte monocyte progenitor cell,CL:0000557,F21,male,unknown,16th week post-fertilization human stage,1,0.021668472372697724
7,Lymphoid cells,natural killer cell,CL:0000623,F21,male,unknown,16th week post-fertilization human stage,517,11.202600216684724
8,Lymphoid cells,mature B cell,CL:0000785,F21,male,unknown,16th week post-fertilization human stage,161,3.4886240520043335
9,Lymphoid cells,plasma cell,CL:0000786,F21,male,unknown,16th week post-fertilization human stage,7,0.15167930660888407
10,Lymphoid cells,regulatory T cell,CL:0000815,F21,male,unknown,16th week post-fertilization human stage,146,3.163596966413868
11,Lymphoid cells,immature B cell,CL:0000816,F21,male,unknown,16th week post-fertilization human stage,166,3.596966413867822
12,Lymphoid cells,B-1 B cell,CL:0000819,F21,male,unknown,16th week post-fertilization human stage,384,8.320693391115928
13,Lymphoid cells,B-2 B cell,CL:0000822,F21,male,unknown,16th week post-fertilization human stage,1546,33.49945828819068
14,Lymphoid cells,pro-B cell,CL:0000826,F21,male,unknown,16th week post-fertilization human stage,29,0.628385698808234
15,Lymphoid cells,hematopoietic multipotent progenitor cell,CL:0000837,F21,male,unknown,16th week post-fertilization human stage,8,0.1733477789815818
16,Lymphoid cells,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,F21,male,unknown,16th week post-fertilization human stage,368,7.973997833152763
17,Lymphoid cells,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,F21,male,unknown,16th week post-fertilization human stage,351,7.605633802816901
18,Lymphoid cells,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CL:0000915,F21,male,unknown,16th week post-fertilization human stage,15,0.3250270855904659
19,Lymphoid cells,early lymphoid progenitor,CL:0000936,F21,male,unknown,16th week post-fertilization human stage,22,0.4767063921993499
20,Lymphoid cells,small pre-B-II cell,CL:0000954,F21,male,unknown,16th week post-fertilization human stage,17,0.3683640303358613
21,Lymphoid cells,large pre-B-II cell,CL:0000957,F21,male,unknown,16th week post-fertilization human stage,10,0.21668472372697722
22,Lymphoid cells,innate lymphoid cell,CL:0001065,F21,male,unknown,16th week post-fertilization human stage,2,0.04333694474539545
23,Lymphoid cells,group 2 innate lymphoid cell,CL:0001069,F21,male,unknown,16th week post-fertilization human stage,1,0.021668472372697724
24,Lymphoid cells,group 3 innate lymphoid cell,CL:0001071,F21,male,unknown,16th week post-fertilization human stage,30,0.6500541711809318
25,Lymphoid cells,fraction A pre-pro B cell,CL:0002045,F21,male,unknown,16th week post-fertilization human stage,31,0.6717226435536294
26,Lymphoid cells,late pro-B cell,CL:0002048,F21,male,unknown,16th week post-fertilization human stage,13,0.28169014084507044
