,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,HSC/progenitor cells,native cell,CL:0000003,F50,female,unknown,15th week post-fertilization human stage,14,3.723404255319149
1,HSC/progenitor cells,hematopoietic stem cell,CL:0000037,F50,female,unknown,15th week post-fertilization human stage,16,4.25531914893617
2,HSC/progenitor cells,common myeloid progenitor,CL:0000049,F50,female,unknown,15th week post-fertilization human stage,2,0.5319148936170213
3,HSC/progenitor cells,megakaryocyte-erythroid progenitor cell,CL:0000050,F50,female,unknown,15th week post-fertilization human stage,82,21.808510638297875
4,HSC/progenitor cells,megakaryocyte,CL:0000556,F50,female,unknown,15th week post-fertilization human stage,199,52.92553191489362
5,HSC/progenitor cells,granulocyte monocyte progenitor cell,CL:0000557,F50,female,unknown,15th week post-fertilization human stage,6,1.5957446808510638
6,HSC/progenitor cells,promonocyte,CL:0000559,F50,female,unknown,15th week post-fertilization human stage,3,0.7978723404255319
7,HSC/progenitor cells,hematopoietic multipotent progenitor cell,CL:0000837,F50,female,unknown,15th week post-fertilization human stage,4,1.0638297872340425
8,HSC/progenitor cells,early lymphoid progenitor,CL:0000936,F50,female,unknown,15th week post-fertilization human stage,9,2.393617021276596
9,HSC/progenitor cells,fraction A pre-pro B cell,CL:0002045,F50,female,unknown,15th week post-fertilization human stage,41,10.904255319148938
