,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Stromal cells (all non-immune cells),native cell,CL:0000003,F51,female,unknown,14th week post-fertilization human stage,264,1.5083990401097016
1,Stromal cells (all non-immune cells),fibroblast,CL:0000057,F51,female,unknown,14th week post-fertilization human stage,11930,68.163638441321
2,Stromal cells (all non-immune cells),mesothelial cell,CL:0000077,F51,female,unknown,14th week post-fertilization human stage,152,0.8684721746086161
3,Stromal cells (all non-immune cells),endothelial cell,CL:0000115,F51,female,unknown,14th week post-fertilization human stage,4784,27.334018969260654
4,Stromal cells (all non-immune cells),glial cell,CL:0000125,F51,female,unknown,14th week post-fertilization human stage,11,0.06284996000457091
5,Stromal cells (all non-immune cells),myofibroblast cell,CL:0000186,F51,female,unknown,14th week post-fertilization human stage,54,0.30853616729516625
6,Stromal cells (all non-immune cells),smooth muscle cell,CL:0000192,F51,female,unknown,14th week post-fertilization human stage,3,0.017140898183064794
7,Stromal cells (all non-immune cells),vascular associated smooth muscle cell,CL:0000359,F51,female,unknown,14th week post-fertilization human stage,300,1.7140898183064794
8,Stromal cells (all non-immune cells),neuron,CL:0000540,F51,female,unknown,14th week post-fertilization human stage,2,0.011427265455376529
9,Stromal cells (all non-immune cells),interstitial cell of Cajal,CL:0002088,F51,female,unknown,14th week post-fertilization human stage,2,0.011427265455376529
