,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,HSC/immune cells (all hematopoietic-derived cells),native cell,CL:0000003,F30,male,unknown,14th week post-fertilization human stage,262,2.5968876994746757
1,HSC/immune cells (all hematopoietic-derived cells),hematopoietic stem cell,CL:0000037,F30,male,unknown,14th week post-fertilization human stage,4,0.039647140449995046
2,HSC/immune cells (all hematopoietic-derived cells),common myeloid progenitor,CL:0000049,F30,male,unknown,14th week post-fertilization human stage,8,0.07929428089999009
3,HSC/immune cells (all hematopoietic-derived cells),megakaryocyte-erythroid progenitor cell,CL:0000050,F30,male,unknown,14th week post-fertilization human stage,59,0.5847953216374269
4,HSC/immune cells (all hematopoietic-derived cells),fibroblast,CL:0000057,F30,male,unknown,14th week post-fertilization human stage,4,0.039647140449995046
5,HSC/immune cells (all hematopoietic-derived cells),T cell,CL:0000084,F30,male,unknown,14th week post-fertilization human stage,488,4.836951134899396
6,HSC/immune cells (all hematopoietic-derived cells),Kupffer cell,CL:0000091,F30,male,unknown,14th week post-fertilization human stage,6,0.05947071067499256
7,HSC/immune cells (all hematopoietic-derived cells),granulocyte,CL:0000094,F30,male,unknown,14th week post-fertilization human stage,25,0.24779462781246903
8,HSC/immune cells (all hematopoietic-derived cells),mast cell,CL:0000097,F30,male,unknown,14th week post-fertilization human stage,65,0.6442660323124194
9,HSC/immune cells (all hematopoietic-derived cells),erythrocyte,CL:0000232,F30,male,unknown,14th week post-fertilization human stage,165,1.6354445435622957
10,HSC/immune cells (all hematopoietic-derived cells),macrophage,CL:0000235,F30,male,unknown,14th week post-fertilization human stage,3369,33.39280404400833
11,HSC/immune cells (all hematopoietic-derived cells),vascular associated smooth muscle cell,CL:0000359,F30,male,unknown,14th week post-fertilization human stage,6,0.05947071067499256
12,HSC/immune cells (all hematopoietic-derived cells),dendritic cell,CL:0000451,F30,male,unknown,14th week post-fertilization human stage,334,3.310536227574586
13,HSC/immune cells (all hematopoietic-derived cells),megakaryocyte,CL:0000556,F30,male,unknown,14th week post-fertilization human stage,714,7.077014570324115
14,HSC/immune cells (all hematopoietic-derived cells),granulocyte monocyte progenitor cell,CL:0000557,F30,male,unknown,14th week post-fertilization human stage,6,0.05947071067499256
15,HSC/immune cells (all hematopoietic-derived cells),promonocyte,CL:0000559,F30,male,unknown,14th week post-fertilization human stage,20,0.19823570224997522
16,HSC/immune cells (all hematopoietic-derived cells),monocyte,CL:0000576,F30,male,unknown,14th week post-fertilization human stage,307,3.0429180295371197
17,HSC/immune cells (all hematopoietic-derived cells),natural killer cell,CL:0000623,F30,male,unknown,14th week post-fertilization human stage,1031,10.219050450986222
18,HSC/immune cells (all hematopoietic-derived cells),neutrophil,CL:0000775,F30,male,unknown,14th week post-fertilization human stage,1,0.009911785112498761
19,HSC/immune cells (all hematopoietic-derived cells),plasmacytoid dendritic cell,CL:0000784,F30,male,unknown,14th week post-fertilization human stage,57,0.5649717514124294
20,HSC/immune cells (all hematopoietic-derived cells),mature B cell,CL:0000785,F30,male,unknown,14th week post-fertilization human stage,225,2.230151650312221
21,HSC/immune cells (all hematopoietic-derived cells),plasma cell,CL:0000786,F30,male,unknown,14th week post-fertilization human stage,9,0.08920606601248886
22,HSC/immune cells (all hematopoietic-derived cells),"double-positive, alpha-beta thymocyte",CL:0000809,F30,male,unknown,14th week post-fertilization human stage,4,0.039647140449995046
23,HSC/immune cells (all hematopoietic-derived cells),regulatory T cell,CL:0000815,F30,male,unknown,14th week post-fertilization human stage,69,0.6839131727624145
24,HSC/immune cells (all hematopoietic-derived cells),immature B cell,CL:0000816,F30,male,unknown,14th week post-fertilization human stage,149,1.4768559817623155
25,HSC/immune cells (all hematopoietic-derived cells),B-1 B cell,CL:0000819,F30,male,unknown,14th week post-fertilization human stage,497,4.926157200911884
26,HSC/immune cells (all hematopoietic-derived cells),B-2 B cell,CL:0000822,F30,male,unknown,14th week post-fertilization human stage,1680,16.651798988997918
27,HSC/immune cells (all hematopoietic-derived cells),pro-B cell,CL:0000826,F30,male,unknown,14th week post-fertilization human stage,26,0.25770641292496776
28,HSC/immune cells (all hematopoietic-derived cells),promyelocyte,CL:0000836,F30,male,unknown,14th week post-fertilization human stage,15,0.14867677668748142
29,HSC/immune cells (all hematopoietic-derived cells),hematopoietic multipotent progenitor cell,CL:0000837,F30,male,unknown,14th week post-fertilization human stage,3,0.02973535533749628
30,HSC/immune cells (all hematopoietic-derived cells),"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,F30,male,unknown,14th week post-fertilization human stage,96,0.9515313707998809
31,HSC/immune cells (all hematopoietic-derived cells),"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,F30,male,unknown,14th week post-fertilization human stage,191,1.8931509564872635
32,HSC/immune cells (all hematopoietic-derived cells),"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CL:0000915,F30,male,unknown,14th week post-fertilization human stage,11,0.10902963623748638
33,HSC/immune cells (all hematopoietic-derived cells),early lymphoid progenitor,CL:0000936,F30,male,unknown,14th week post-fertilization human stage,8,0.07929428089999009
34,HSC/immune cells (all hematopoietic-derived cells),small pre-B-II cell,CL:0000954,F30,male,unknown,14th week post-fertilization human stage,19,0.18832391713747645
35,HSC/immune cells (all hematopoietic-derived cells),large pre-B-II cell,CL:0000957,F30,male,unknown,14th week post-fertilization human stage,18,0.17841213202497772
36,HSC/immune cells (all hematopoietic-derived cells),innate lymphoid cell,CL:0001065,F30,male,unknown,14th week post-fertilization human stage,1,0.009911785112498761
37,HSC/immune cells (all hematopoietic-derived cells),group 2 innate lymphoid cell,CL:0001069,F30,male,unknown,14th week post-fertilization human stage,2,0.019823570224997523
38,HSC/immune cells (all hematopoietic-derived cells),group 3 innate lymphoid cell,CL:0001071,F30,male,unknown,14th week post-fertilization human stage,91,0.9019724452373873
39,HSC/immune cells (all hematopoietic-derived cells),fraction A pre-pro B cell,CL:0002045,F30,male,unknown,14th week post-fertilization human stage,31,0.30726533848746157
40,HSC/immune cells (all hematopoietic-derived cells),late pro-B cell,CL:0002048,F30,male,unknown,14th week post-fertilization human stage,12,0.11894142134998512
41,HSC/immune cells (all hematopoietic-derived cells),myelocyte,CL:0002193,F30,male,unknown,14th week post-fertilization human stage,1,0.009911785112498761
