,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Survey of human embryonic development,native cell,CL:0000003,H27876,male,unknown,16th week post-fertilization human stage,156,7.7227722772277225
1,Survey of human embryonic development,ciliated epithelial cell,CL:0000067,H27876,male,unknown,16th week post-fertilization human stage,109,5.396039603960396
2,Survey of human embryonic development,squamous epithelial cell,CL:0000076,H27876,male,unknown,16th week post-fertilization human stage,1094,54.15841584158416
3,Survey of human embryonic development,mesothelial cell,CL:0000077,H27876,male,unknown,16th week post-fertilization human stage,20,0.9900990099009901
4,Survey of human embryonic development,glial cell,CL:0000125,H27876,male,unknown,16th week post-fertilization human stage,7,0.34653465346534656
5,Survey of human embryonic development,goblet cell,CL:0000160,H27876,male,unknown,16th week post-fertilization human stage,294,14.554455445544553
6,Survey of human embryonic development,neuroendocrine cell,CL:0000165,H27876,male,unknown,16th week post-fertilization human stage,57,2.821782178217822
7,Survey of human embryonic development,stromal cell,CL:0000499,H27876,male,unknown,16th week post-fertilization human stage,120,5.9405940594059405
8,Survey of human embryonic development,myeloid cell,CL:0000763,H27876,male,unknown,16th week post-fertilization human stage,10,0.49504950495049505
9,Survey of human embryonic development,erythroblast,CL:0000765,H27876,male,unknown,16th week post-fertilization human stage,35,1.7326732673267329
10,Survey of human embryonic development,innate lymphoid cell,CL:0001065,H27876,male,unknown,16th week post-fertilization human stage,47,2.3267326732673266
11,Survey of human embryonic development,endothelial cell of lymphatic vessel,CL:0002138,H27876,male,unknown,16th week post-fertilization human stage,7,0.34653465346534656
12,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,H27876,male,unknown,16th week post-fertilization human stage,16,0.7920792079207921
13,Survey of human embryonic development,brush cell,CL:0002204,H27876,male,unknown,16th week post-fertilization human stage,44,2.178217821782178
14,Survey of human embryonic development,enteric neuron,CL:0007011,H27876,male,unknown,16th week post-fertilization human stage,4,0.19801980198019803
