,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Tabula Sapiens - Salivary_Gland,fibroblast,CL:0000057,TSP14,male,European,59-year-old human stage,543,8.763718528082634
1,Tabula Sapiens - Salivary_Gland,duct epithelial cell,CL:0000068,TSP14,male,European,59-year-old human stage,990,15.978050355067786
2,Tabula Sapiens - Salivary_Gland,T cell,CL:0000084,TSP14,male,European,59-year-old human stage,70,1.129761136216914
3,Tabula Sapiens - Salivary_Gland,endothelial cell,CL:0000115,TSP14,male,European,59-year-old human stage,123,1.9851517107811492
4,Tabula Sapiens - Salivary_Gland,myoepithelial cell,CL:0000185,TSP14,male,European,59-year-old human stage,61,0.9845061329890251
5,Tabula Sapiens - Salivary_Gland,macrophage,CL:0000235,TSP14,male,European,59-year-old human stage,637,10.280826339573919
6,Tabula Sapiens - Salivary_Gland,basal cell,CL:0000646,TSP14,male,European,59-year-old human stage,880,14.202711426726921
7,Tabula Sapiens - Salivary_Gland,pericyte,CL:0000669,TSP14,male,European,59-year-old human stage,99,1.5978050355067785
8,Tabula Sapiens - Salivary_Gland,plasma cell,CL:0000786,TSP14,male,European,59-year-old human stage,309,4.987088444157521
9,Tabula Sapiens - Salivary_Gland,endothelial cell of lymphatic vessel,CL:0002138,TSP14,male,European,59-year-old human stage,257,4.1478373143963845
10,Tabula Sapiens - Salivary_Gland,acinar cell of salivary gland,CL:0002623,TSP14,male,European,59-year-old human stage,2095,33.81213686249193
11,Tabula Sapiens - Salivary_Gland,ionocyte,CL:0005006,TSP14,male,European,59-year-old human stage,87,1.4041316978695932
12,Tabula Sapiens - Salivary_Gland,salivary gland cell,CL:0009005,TSP14,male,European,59-year-old human stage,45,0.7262750161394448
