,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Global,mast cell,CL:0000097,621B,male,unknown,sixth decade human stage,2,0.06474587245063128
1,Global,macrophage,CL:0000235,621B,male,unknown,sixth decade human stage,7,0.22661055357720947
2,Global,CD4-positive helper T cell,CL:0000492,621B,male,unknown,sixth decade human stage,30,0.9711880867594691
3,Global,lymphocyte,CL:0000542,621B,male,unknown,sixth decade human stage,23,0.7445775331822596
4,Global,animal cell,CL:0000548,621B,male,unknown,sixth decade human stage,6,0.19423761735189382
5,Global,alveolar macrophage,CL:0000583,621B,male,unknown,sixth decade human stage,5,0.16186468112657817
6,Global,plasma cell,CL:0000786,621B,male,unknown,sixth decade human stage,4,0.12949174490126256
7,Global,memory B cell,CL:0000787,621B,male,unknown,sixth decade human stage,817,26.44868889608287
8,Global,naive B cell,CL:0000788,621B,male,unknown,sixth decade human stage,169,5.4710262220783425
9,Global,alpha-beta T cell,CL:0000789,621B,male,unknown,sixth decade human stage,33,1.068306895435416
10,Global,regulatory T cell,CL:0000815,621B,male,unknown,sixth decade human stage,136,4.402719326642926
11,Global,germinal center B cell,CL:0000844,621B,male,unknown,sixth decade human stage,3,0.09711880867594691
12,Global,classical monocyte,CL:0000860,621B,male,unknown,sixth decade human stage,8,0.2589834898025251
13,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,621B,male,unknown,sixth decade human stage,909,29.426999028811913
14,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,621B,male,unknown,sixth decade human stage,348,11.26578180640984
15,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,621B,male,unknown,sixth decade human stage,319,10.326966655875689
16,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,621B,male,unknown,sixth decade human stage,6,0.19423761735189382
17,Global,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,621B,male,unknown,sixth decade human stage,6,0.19423761735189382
18,Global,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,621B,male,unknown,sixth decade human stage,3,0.09711880867594691
19,Global,mucosal invariant T cell,CL:0000940,621B,male,unknown,sixth decade human stage,10,0.32372936225315635
20,Global,conventional dendritic cell,CL:0000990,621B,male,unknown,sixth decade human stage,4,0.12949174490126256
21,Global,"dendritic cell, human",CL:0001056,621B,male,unknown,sixth decade human stage,5,0.16186468112657817
22,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,621B,male,unknown,sixth decade human stage,3,0.09711880867594691
23,Global,group 3 innate lymphoid cell,CL:0001071,621B,male,unknown,sixth decade human stage,8,0.2589834898025251
24,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,621B,male,unknown,sixth decade human stage,35,1.1330527678860474
25,Global,T follicular helper cell,CL:0002038,621B,male,unknown,sixth decade human stage,190,6.150857882809971
