,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Global,macrophage,CL:0000235,637C,male,unknown,sixth decade human stage,6,0.08724734622655228
1,Global,CD4-positive helper T cell,CL:0000492,637C,male,unknown,sixth decade human stage,125,1.8176530463865057
2,Global,lymphocyte,CL:0000542,637C,male,unknown,sixth decade human stage,24,0.3489893849062091
3,Global,animal cell,CL:0000548,637C,male,unknown,sixth decade human stage,35,0.5089428529882216
4,Global,alveolar macrophage,CL:0000583,637C,male,unknown,sixth decade human stage,4,0.058164897484368185
5,Global,plasma cell,CL:0000786,637C,male,unknown,sixth decade human stage,3,0.04362367311327614
6,Global,memory B cell,CL:0000787,637C,male,unknown,sixth decade human stage,770,11.196742765740876
7,Global,naive B cell,CL:0000788,637C,male,unknown,sixth decade human stage,445,6.470844845135961
8,Global,alpha-beta T cell,CL:0000789,637C,male,unknown,sixth decade human stage,187,2.7192089573942124
9,Global,gamma-delta T cell,CL:0000798,637C,male,unknown,sixth decade human stage,18,0.26174203867965684
10,Global,regulatory T cell,CL:0000815,637C,male,unknown,sixth decade human stage,873,12.694488875963355
11,Global,pro-B cell,CL:0000826,637C,male,unknown,sixth decade human stage,1,0.014541224371092046
12,Global,germinal center B cell,CL:0000844,637C,male,unknown,sixth decade human stage,4,0.058164897484368185
13,Global,classical monocyte,CL:0000860,637C,male,unknown,sixth decade human stage,5,0.07270612185546023
14,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,637C,male,unknown,sixth decade human stage,2737,39.79933110367893
15,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,637C,male,unknown,sixth decade human stage,599,8.710193398284135
16,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,637C,male,unknown,sixth decade human stage,436,6.339973825796132
17,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,637C,male,unknown,sixth decade human stage,25,0.36353060927730113
18,Global,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,637C,male,unknown,sixth decade human stage,40,0.5816489748436818
19,Global,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,637C,male,unknown,sixth decade human stage,18,0.26174203867965684
20,Global,mucosal invariant T cell,CL:0000940,637C,male,unknown,sixth decade human stage,25,0.36353060927730113
21,Global,conventional dendritic cell,CL:0000990,637C,male,unknown,sixth decade human stage,1,0.014541224371092046
22,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,637C,male,unknown,sixth decade human stage,14,0.20357714119528864
23,Global,group 3 innate lymphoid cell,CL:0001071,637C,male,unknown,sixth decade human stage,22,0.319906936164025
24,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,637C,male,unknown,sixth decade human stage,62,0.9015559110077068
25,Global,T follicular helper cell,CL:0002038,637C,male,unknown,sixth decade human stage,397,5.772866075323542
26,Global,progenitor cell,CL:0011026,637C,male,unknown,sixth decade human stage,1,0.014541224371092046
