,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Megakaryocyte/erythroid cells,native cell,CL:0000003,F67,female,unknown,12th week post-fertilization human stage,7,8.333333333333332
1,Megakaryocyte/erythroid cells,hematopoietic stem cell,CL:0000037,F67,female,unknown,12th week post-fertilization human stage,7,8.333333333333332
2,Megakaryocyte/erythroid cells,erythrocyte,CL:0000232,F67,female,unknown,12th week post-fertilization human stage,42,50.0
3,Megakaryocyte/erythroid cells,macrophage,CL:0000235,F67,female,unknown,12th week post-fertilization human stage,1,1.1904761904761905
4,Megakaryocyte/erythroid cells,megakaryocyte,CL:0000556,F67,female,unknown,12th week post-fertilization human stage,5,5.952380952380952
5,Megakaryocyte/erythroid cells,promonocyte,CL:0000559,F67,female,unknown,12th week post-fertilization human stage,1,1.1904761904761905
6,Megakaryocyte/erythroid cells,promyelocyte,CL:0000836,F67,female,unknown,12th week post-fertilization human stage,1,1.1904761904761905
7,Megakaryocyte/erythroid cells,hematopoietic multipotent progenitor cell,CL:0000837,F67,female,unknown,12th week post-fertilization human stage,2,2.380952380952381
8,Megakaryocyte/erythroid cells,early lymphoid progenitor,CL:0000936,F67,female,unknown,12th week post-fertilization human stage,3,3.571428571428571
9,Megakaryocyte/erythroid cells,fraction A pre-pro B cell,CL:0002045,F67,female,unknown,12th week post-fertilization human stage,4,4.761904761904762
10,Megakaryocyte/erythroid cells,double negative thymocyte,CL:0002489,F67,female,unknown,12th week post-fertilization human stage,11,13.095238095238097
