,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,HSC/immune cells (all hematopoietic-derived cells),native cell,CL:0000003,F21,male,unknown,16th week post-fertilization human stage,134,1.7314898565706165
1,HSC/immune cells (all hematopoietic-derived cells),hematopoietic stem cell,CL:0000037,F21,male,unknown,16th week post-fertilization human stage,4,0.05168626437524228
2,HSC/immune cells (all hematopoietic-derived cells),common myeloid progenitor,CL:0000049,F21,male,unknown,16th week post-fertilization human stage,12,0.15505879312572685
3,HSC/immune cells (all hematopoietic-derived cells),megakaryocyte-erythroid progenitor cell,CL:0000050,F21,male,unknown,16th week post-fertilization human stage,1,0.01292156609381057
4,HSC/immune cells (all hematopoietic-derived cells),fibroblast,CL:0000057,F21,male,unknown,16th week post-fertilization human stage,1,0.01292156609381057
5,HSC/immune cells (all hematopoietic-derived cells),T cell,CL:0000084,F21,male,unknown,16th week post-fertilization human stage,219,2.829822974544515
6,HSC/immune cells (all hematopoietic-derived cells),osteoclast,CL:0000092,F21,male,unknown,16th week post-fertilization human stage,1,0.01292156609381057
7,HSC/immune cells (all hematopoietic-derived cells),granulocyte,CL:0000094,F21,male,unknown,16th week post-fertilization human stage,1,0.01292156609381057
8,HSC/immune cells (all hematopoietic-derived cells),mast cell,CL:0000097,F21,male,unknown,16th week post-fertilization human stage,8,0.10337252875048455
9,HSC/immune cells (all hematopoietic-derived cells),erythrocyte,CL:0000232,F21,male,unknown,16th week post-fertilization human stage,9,0.11629409484429512
10,HSC/immune cells (all hematopoietic-derived cells),macrophage,CL:0000235,F21,male,unknown,16th week post-fertilization human stage,12,0.15505879312572685
11,HSC/immune cells (all hematopoietic-derived cells),dendritic cell,CL:0000451,F21,male,unknown,16th week post-fertilization human stage,125,1.615195761726321
12,HSC/immune cells (all hematopoietic-derived cells),megakaryocyte,CL:0000556,F21,male,unknown,16th week post-fertilization human stage,1,0.01292156609381057
13,HSC/immune cells (all hematopoietic-derived cells),granulocyte monocyte progenitor cell,CL:0000557,F21,male,unknown,16th week post-fertilization human stage,4,0.05168626437524228
14,HSC/immune cells (all hematopoietic-derived cells),promonocyte,CL:0000559,F21,male,unknown,16th week post-fertilization human stage,5,0.06460783046905284
15,HSC/immune cells (all hematopoietic-derived cells),monocyte,CL:0000576,F21,male,unknown,16th week post-fertilization human stage,13,0.1679803592195374
16,HSC/immune cells (all hematopoietic-derived cells),natural killer cell,CL:0000623,F21,male,unknown,16th week post-fertilization human stage,9,0.11629409484429512
17,HSC/immune cells (all hematopoietic-derived cells),neutrophil,CL:0000775,F21,male,unknown,16th week post-fertilization human stage,1,0.01292156609381057
18,HSC/immune cells (all hematopoietic-derived cells),plasmacytoid dendritic cell,CL:0000784,F21,male,unknown,16th week post-fertilization human stage,10,0.1292156609381057
19,HSC/immune cells (all hematopoietic-derived cells),mature B cell,CL:0000785,F21,male,unknown,16th week post-fertilization human stage,6,0.07752939656286342
20,HSC/immune cells (all hematopoietic-derived cells),"double-positive, alpha-beta thymocyte",CL:0000809,F21,male,unknown,16th week post-fertilization human stage,2842,36.72309083860964
21,HSC/immune cells (all hematopoietic-derived cells),regulatory T cell,CL:0000815,F21,male,unknown,16th week post-fertilization human stage,372,4.806822586897532
22,HSC/immune cells (all hematopoietic-derived cells),immature B cell,CL:0000816,F21,male,unknown,16th week post-fertilization human stage,1,0.01292156609381057
23,HSC/immune cells (all hematopoietic-derived cells),B-1 B cell,CL:0000819,F21,male,unknown,16th week post-fertilization human stage,35,0.4522548132833699
24,HSC/immune cells (all hematopoietic-derived cells),B-2 B cell,CL:0000822,F21,male,unknown,16th week post-fertilization human stage,7,0.09045096265667399
25,HSC/immune cells (all hematopoietic-derived cells),pro-B cell,CL:0000826,F21,male,unknown,16th week post-fertilization human stage,13,0.1679803592195374
26,HSC/immune cells (all hematopoietic-derived cells),promyelocyte,CL:0000836,F21,male,unknown,16th week post-fertilization human stage,2,0.02584313218762114
27,HSC/immune cells (all hematopoietic-derived cells),"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,F21,male,unknown,16th week post-fertilization human stage,408,5.271998966274713
28,HSC/immune cells (all hematopoietic-derived cells),"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,F21,male,unknown,16th week post-fertilization human stage,497,6.422018348623854
29,HSC/immune cells (all hematopoietic-derived cells),"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CL:0000915,F21,male,unknown,16th week post-fertilization human stage,104,1.3438428737562993
30,HSC/immune cells (all hematopoietic-derived cells),early lymphoid progenitor,CL:0000936,F21,male,unknown,16th week post-fertilization human stage,9,0.11629409484429512
31,HSC/immune cells (all hematopoietic-derived cells),large pre-B-II cell,CL:0000957,F21,male,unknown,16th week post-fertilization human stage,1,0.01292156609381057
32,HSC/immune cells (all hematopoietic-derived cells),common dendritic progenitor,CL:0001029,F21,male,unknown,16th week post-fertilization human stage,1,0.01292156609381057
33,HSC/immune cells (all hematopoietic-derived cells),group 3 innate lymphoid cell,CL:0001071,F21,male,unknown,16th week post-fertilization human stage,2,0.02584313218762114
34,HSC/immune cells (all hematopoietic-derived cells),fraction A pre-pro B cell,CL:0002045,F21,male,unknown,16th week post-fertilization human stage,8,0.10337252875048455
35,HSC/immune cells (all hematopoietic-derived cells),late pro-B cell,CL:0002048,F21,male,unknown,16th week post-fertilization human stage,2,0.02584313218762114
36,HSC/immune cells (all hematopoietic-derived cells),myelocyte,CL:0002193,F21,male,unknown,16th week post-fertilization human stage,2,0.02584313218762114
37,HSC/immune cells (all hematopoietic-derived cells),double negative thymocyte,CL:0002489,F21,male,unknown,16th week post-fertilization human stage,2857,36.916914330016795
