,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,fibroblast,CL:0000057,F67,female,unknown,12th week post-fertilization human stage,512,3.77052802120922
1,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,T cell,CL:0000084,F67,female,unknown,12th week post-fertilization human stage,327,2.4081302010457324
2,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,mast cell,CL:0000097,F67,female,unknown,12th week post-fertilization human stage,8,0.05891450033139406
3,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,endothelial cell,CL:0000115,F67,female,unknown,12th week post-fertilization human stage,68,0.5007732528168496
4,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,erythrocyte,CL:0000232,F67,female,unknown,12th week post-fertilization human stage,46,0.33875837690551586
5,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,macrophage,CL:0000235,F67,female,unknown,12th week post-fertilization human stage,96,0.7069740039767288
6,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,vascular associated smooth muscle cell,CL:0000359,F67,female,unknown,12th week post-fertilization human stage,18,0.13255762574563665
7,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,dendritic cell,CL:0000451,F67,female,unknown,12th week post-fertilization human stage,270,1.9883643861845497
8,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,lymphocyte,CL:0000542,F67,female,unknown,12th week post-fertilization human stage,9,0.06627881287281832
9,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,megakaryocyte,CL:0000556,F67,female,unknown,12th week post-fertilization human stage,1,0.0073643125414242575
10,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,monocyte,CL:0000576,F67,female,unknown,12th week post-fertilization human stage,11,0.08100743795566684
11,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,natural killer cell,CL:0000623,F67,female,unknown,12th week post-fertilization human stage,84,0.6186022534796377
12,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD4-positive, alpha-beta T cell",CL:0000624,F67,female,unknown,12th week post-fertilization human stage,2051,15.104205022461153
13,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD8-positive, alpha-beta T cell",CL:0000625,F67,female,unknown,12th week post-fertilization human stage,1277,9.404227115398777
14,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,plasmacytoid dendritic cell,CL:0000784,F67,female,unknown,12th week post-fertilization human stage,2,0.014728625082848515
15,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,naive B cell,CL:0000788,F67,female,unknown,12th week post-fertilization human stage,71,0.5228661904411223
16,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,alpha-beta T cell,CL:0000789,F67,female,unknown,12th week post-fertilization human stage,761,5.604241844023861
17,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,gamma-delta T cell,CL:0000798,F67,female,unknown,12th week post-fertilization human stage,100,0.7364312541424258
18,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"double-positive, alpha-beta thymocyte",CL:0000809,F67,female,unknown,12th week post-fertilization human stage,6034,44.43626187495398
19,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,regulatory T cell,CL:0000815,F67,female,unknown,12th week post-fertilization human stage,372,2.739524265409824
20,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,precursor B cell,CL:0000817,F67,female,unknown,12th week post-fertilization human stage,8,0.05891450033139406
21,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD4-positive, alpha-beta memory T cell",CL:0000897,F67,female,unknown,12th week post-fertilization human stage,227,1.6716989469033068
22,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CL:0000915,F67,female,unknown,12th week post-fertilization human stage,577,4.2492083364017965
23,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,group 3 innate lymphoid cell,CL:0001071,F67,female,unknown,12th week post-fertilization human stage,10,0.07364312541424257
24,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,epithelial cell of thymus,CL:0002293,F67,female,unknown,12th week post-fertilization human stage,2,0.014728625082848515
25,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,cortical thymic epithelial cell,CL:0002364,F67,female,unknown,12th week post-fertilization human stage,3,0.022092937624272776
26,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,medullary thymic epithelial cell,CL:0002365,F67,female,unknown,12th week post-fertilization human stage,8,0.05891450033139406
27,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,double negative thymocyte,CL:0002489,F67,female,unknown,12th week post-fertilization human stage,623,4.5879667133073125
28,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,progenitor cell,CL:0011026,F67,female,unknown,12th week post-fertilization human stage,3,0.022092937624272776
