,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,fibroblast,CL:0000057,T03,female,unknown,10-month-old human stage,1,0.02088118605136772
1,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,T cell,CL:0000084,T03,female,unknown,10-month-old human stage,101,2.1089997911881397
2,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,mast cell,CL:0000097,T03,female,unknown,10-month-old human stage,1,0.02088118605136772
3,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,macrophage,CL:0000235,T03,female,unknown,10-month-old human stage,4,0.08352474420547087
4,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,dendritic cell,CL:0000451,T03,female,unknown,10-month-old human stage,39,0.814366256003341
5,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,monocyte,CL:0000576,T03,female,unknown,10-month-old human stage,5,0.10440593025683859
6,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,natural killer cell,CL:0000623,T03,female,unknown,10-month-old human stage,24,0.5011484652328252
7,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD4-positive, alpha-beta T cell",CL:0000624,T03,female,unknown,10-month-old human stage,600,12.528711630820629
8,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD8-positive, alpha-beta T cell",CL:0000625,T03,female,unknown,10-month-old human stage,440,9.187721862601796
9,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,plasmacytoid dendritic cell,CL:0000784,T03,female,unknown,10-month-old human stage,12,0.2505742326164126
10,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,plasma cell,CL:0000786,T03,female,unknown,10-month-old human stage,6,0.1252871163082063
11,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,memory B cell,CL:0000787,T03,female,unknown,10-month-old human stage,7,0.14616830235957404
12,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,naive B cell,CL:0000788,T03,female,unknown,10-month-old human stage,54,1.1275840467738567
13,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,alpha-beta T cell,CL:0000789,T03,female,unknown,10-month-old human stage,143,2.9860096053455836
14,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,gamma-delta T cell,CL:0000798,T03,female,unknown,10-month-old human stage,21,0.4385049070787221
15,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"double-positive, alpha-beta thymocyte",CL:0000809,T03,female,unknown,10-month-old human stage,2343,48.92461891835456
16,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,regulatory T cell,CL:0000815,T03,female,unknown,10-month-old human stage,154,3.2157026519106284
17,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD4-positive, alpha-beta memory T cell",CL:0000897,T03,female,unknown,10-month-old human stage,19,0.3967425349759866
18,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD8-positive, alpha-beta memory T cell",CL:0000909,T03,female,unknown,10-month-old human stage,5,0.10440593025683859
19,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CL:0000915,T03,female,unknown,10-month-old human stage,249,5.199415326790562
20,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,cortical thymic epithelial cell,CL:0002364,T03,female,unknown,10-month-old human stage,5,0.10440593025683859
21,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,medullary thymic epithelial cell,CL:0002365,T03,female,unknown,10-month-old human stage,2,0.04176237210273544
22,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,double negative thymocyte,CL:0002489,T03,female,unknown,10-month-old human stage,552,11.52641470035498
23,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,progenitor cell,CL:0011026,T03,female,unknown,10-month-old human stage,2,0.04176237210273544
