,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Myeloid cells,native cell,CL:0000003,F29,female,unknown,17th week post-fertilization human stage,5,1.1547344110854503
1,Myeloid cells,granulocyte,CL:0000094,F29,female,unknown,17th week post-fertilization human stage,1,0.23094688221709006
2,Myeloid cells,mast cell,CL:0000097,F29,female,unknown,17th week post-fertilization human stage,3,0.6928406466512702
3,Myeloid cells,macrophage,CL:0000235,F29,female,unknown,17th week post-fertilization human stage,29,6.697459584295612
4,Myeloid cells,dendritic cell,CL:0000451,F29,female,unknown,17th week post-fertilization human stage,277,63.972286374133944
5,Myeloid cells,Langerhans cell,CL:0000453,F29,female,unknown,17th week post-fertilization human stage,8,1.8475750577367205
6,Myeloid cells,granulocyte monocyte progenitor cell,CL:0000557,F29,female,unknown,17th week post-fertilization human stage,1,0.23094688221709006
7,Myeloid cells,promonocyte,CL:0000559,F29,female,unknown,17th week post-fertilization human stage,4,0.9237875288683602
8,Myeloid cells,monocyte,CL:0000576,F29,female,unknown,17th week post-fertilization human stage,30,6.928406466512701
9,Myeloid cells,plasmacytoid dendritic cell,CL:0000784,F29,female,unknown,17th week post-fertilization human stage,70,16.166281755196305
10,Myeloid cells,promyelocyte,CL:0000836,F29,female,unknown,17th week post-fertilization human stage,1,0.23094688221709006
11,Myeloid cells,early lymphoid progenitor,CL:0000936,F29,female,unknown,17th week post-fertilization human stage,1,0.23094688221709006
12,Myeloid cells,common dendritic progenitor,CL:0001029,F29,female,unknown,17th week post-fertilization human stage,3,0.6928406466512702
