,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,T cell,CL:0000084,T06,male,unknown,2-year-old human stage,438,2.2550584358749934
1,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,mast cell,CL:0000097,T06,male,unknown,2-year-old human stage,1,0.00514853524172373
2,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,erythrocyte,CL:0000232,T06,male,unknown,2-year-old human stage,2,0.01029707048344746
3,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,macrophage,CL:0000235,T06,male,unknown,2-year-old human stage,3,0.015445605725171188
4,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,dendritic cell,CL:0000451,T06,male,unknown,2-year-old human stage,110,0.5663388765896102
5,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,lymphocyte,CL:0000542,T06,male,unknown,2-year-old human stage,1,0.00514853524172373
6,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,monocyte,CL:0000576,T06,male,unknown,2-year-old human stage,4,0.02059414096689492
7,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,natural killer cell,CL:0000623,T06,male,unknown,2-year-old human stage,53,0.27287236781135765
8,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD4-positive, alpha-beta T cell",CL:0000624,T06,male,unknown,2-year-old human stage,1411,7.264583226072182
9,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD8-positive, alpha-beta T cell",CL:0000625,T06,male,unknown,2-year-old human stage,1766,9.092313236884106
10,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,plasmacytoid dendritic cell,CL:0000784,T06,male,unknown,2-year-old human stage,22,0.11326777531792205
11,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,plasma cell,CL:0000786,T06,male,unknown,2-year-old human stage,30,0.15445605725171188
12,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,naive B cell,CL:0000788,T06,male,unknown,2-year-old human stage,298,1.5342635020336715
13,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,alpha-beta T cell,CL:0000789,T06,male,unknown,2-year-old human stage,1546,7.9596354837048855
14,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,gamma-delta T cell,CL:0000798,T06,male,unknown,2-year-old human stage,91,0.4685167069968594
15,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"double-positive, alpha-beta thymocyte",CL:0000809,T06,male,unknown,2-year-old human stage,9883,50.88297379395562
16,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,regulatory T cell,CL:0000815,T06,male,unknown,2-year-old human stage,1290,6.641610461823612
17,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,precursor B cell,CL:0000817,T06,male,unknown,2-year-old human stage,5,0.025742676208618646
18,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD4-positive, alpha-beta memory T cell",CL:0000897,T06,male,unknown,2-year-old human stage,101,0.5200020594140967
19,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD8-positive, alpha-beta memory T cell",CL:0000909,T06,male,unknown,2-year-old human stage,199,1.0245585131030222
20,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CL:0000915,T06,male,unknown,2-year-old human stage,1657,8.53112289553622
21,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,group 3 innate lymphoid cell,CL:0001071,T06,male,unknown,2-year-old human stage,13,0.06693095814240849
22,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,epithelial cell of thymus,CL:0002293,T06,male,unknown,2-year-old human stage,1,0.00514853524172373
23,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,medullary thymic epithelial cell,CL:0002365,T06,male,unknown,2-year-old human stage,1,0.00514853524172373
24,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,early T lineage precursor,CL:0002425,T06,male,unknown,2-year-old human stage,4,0.02059414096689492
25,Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation,double negative thymocyte,CL:0002489,T06,male,unknown,2-year-old human stage,493,2.5382278741697983
