,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Non-pregnant Uterus (Endometrium - All),fibroblast,CL:0000057,SAMN15049045,female,unknown,human early adulthood stage,5,0.14775413711583923
1,Non-pregnant Uterus (Endometrium - All),ciliated cell,CL:0000064,SAMN15049045,female,unknown,human early adulthood stage,187,5.526004728132388
2,Non-pregnant Uterus (Endometrium - All),epithelial cell,CL:0000066,SAMN15049045,female,unknown,human early adulthood stage,12,0.3546099290780142
3,Non-pregnant Uterus (Endometrium - All),glandular epithelial cell,CL:0000150,SAMN15049045,female,unknown,human early adulthood stage,978,28.900709219858157
4,Non-pregnant Uterus (Endometrium - All),eukaryotic cell,CL:0000255,SAMN15049045,female,unknown,human early adulthood stage,515,15.218676122931443
5,Non-pregnant Uterus (Endometrium - All),supporting cell,CL:0000630,SAMN15049045,female,unknown,human early adulthood stage,194,5.732860520094563
6,Non-pregnant Uterus (Endometrium - All),leukocyte,CL:0000738,SAMN15049045,female,unknown,human early adulthood stage,63,1.8617021276595744
7,Non-pregnant Uterus (Endometrium - All),myeloid cell,CL:0000763,SAMN15049045,female,unknown,human early adulthood stage,37,1.0933806146572105
8,Non-pregnant Uterus (Endometrium - All),stromal cell of ovary,CL:0002132,SAMN15049045,female,unknown,human early adulthood stage,1099,32.476359338061464
9,Non-pregnant Uterus (Endometrium - All),uterine smooth muscle cell,CL:0002601,SAMN15049045,female,unknown,human early adulthood stage,11,0.3250591016548463
10,Non-pregnant Uterus (Endometrium - All),endothelial cell of uterus,CL:0009095,SAMN15049045,female,unknown,human early adulthood stage,283,8.3628841607565
